x,y
0.409274,0.022290
0.409274,0.022290
0.409274,0.022290
0.409274,0.022290
0.409274,0.022290
0.409274,0.022290
0.409274,0.022290
0.409274,0.022290
0.409274,0.022290
0.419244,0.023059
0.419244,0.023059
0.424221,0.023539
0.429198,0.024019
0.439168,0.024787
0.439168,0.024787
0.439168,0.024787
0.439168,0.024787
0.439168,0.024787
0.439168,0.024787
0.439168,0.024787
0.439168,0.024787
0.439168,0.024787
0.439168,0.024787
0.439168,0.024787
0.439168,0.024787
0.439168,0.024787
0.439168,0.024787
0.439168,0.024787
0.439168,0.024787
0.439168,0.024787
0.439168,0.024787
0.439168,0.024787
0.439168,0.024787
0.439168,0.024787
0.449139,0.025556
0.454116,0.026036
0.459093,0.026516
0.459093,0.026516
0.459093,0.026516
0.459093,0.026516
0.459093,0.026516
0.459093,0.026516
0.459093,0.026516
0.459093,0.026516
0.459093,0.026516
0.459093,0.026516
0.459093,0.026516
0.459093,0.026516
0.459093,0.026516
0.459093,0.026516
0.459093,0.026516
0.459093,0.026516
0.459093,0.026516
0.459093,0.026516
0.459093,0.026516
0.459093,0.026516
0.459093,0.026516
0.459093,0.026516
0.459093,0.026516
0.469063,0.027284
0.479033,0.028053
0.479033,0.028053
0.479033,0.028053
0.479033,0.028053
0.479033,0.028053
0.479033,0.028053
0.479033,0.028053
0.479033,0.028053
0.479033,0.028053
0.479033,0.028053
0.479033,0.028053
0.479033,0.028053
0.479033,0.028053
0.479033,0.028053
0.479033,0.028053
0.479033,0.028053
0.479033,0.028053
0.479033,0.028053
0.479033,0.028053
0.479033,0.028053
0.474189,0.026816
0.474189,0.026816
0.478982,0.028238
0.474312,0.026451
0.474312,0.026451
0.474312,0.026451
0.474312,0.026451
0.474312,0.026451
0.474312,0.026451
0.469793,0.024311
0.474227,0.026624
0.469886,0.024143
0.469886,0.024143
0.469886,0.024143
0.469886,0.024143
0.469886,0.024143
0.469886,0.024143
0.469886,0.024143
0.469886,0.024143
0.469886,0.024143
0.469886,0.024143
0.466099,0.020878
0.469757,0.024286
0.469757,0.024286
0.469757,0.024286
0.469757,0.024286
0.469757,0.024286
0.469757,0.024286
0.466233,0.020739
0.469618,0.024419
0.466377,0.020612
0.466377,0.020612
0.466377,0.020612
0.466377,0.020612
0.466377,0.020612
0.466377,0.020612
0.466377,0.020612
0.466377,0.020612
0.466377,0.020612
0.466377,0.020612
0.466377,0.020612
0.466377,0.020612
0.466377,0.020612
0.466377,0.020612
0.466377,0.020612
0.466377,0.020612
0.466377,0.020612
0.466377,0.020612
0.466377,0.020612
0.466377,0.020612
0.464264,0.016080
0.464264,0.016080
0.465841,0.020825
0.465841,0.020825
0.465841,0.020825
0.465841,0.020825
0.465841,0.020825
0.465841,0.020825
0.465841,0.020825
0.465841,0.020825
0.465841,0.020825
0.464448,0.016023
0.464448,0.016023
0.465655,0.020875
0.464824,0.015944
0.464824,0.015944
0.464824,0.015944
0.464824,0.015944
0.464824,0.015944
0.464824,0.015944
0.464824,0.015944
0.464824,0.015944
0.464824,0.015944
0.464824,0.015944
0.464824,0.015944
0.464824,0.015944
0.464375,0.010965
0.464632,0.015958
0.464632,0.015958
